sample_name	sample_accession
2538.1000821	ERS1973147
2538.1003512	ERS1973723
2538.1003513	ERS1973724
2538.1003510	ERS1973721
2538.1003511	ERS1973722
2538.1003516	ERS1973727
2538.1003517	ERS1973728
2538.1003514	ERS1973725
2538.1003515	ERS1973726
2538.1000122	ERS1972974
2538.1003518	None
2538.1003519	ERS1973729
2538.1000123	ERS1972975
2538.1000418	ERS1973041
2538.1000419	ERS1973042
2538.1002328	ERS1973551
2538.1000412	ERS1973035
2538.1000413	ERS1973036
2538.1000410	ERS1973033
2538.1000411	ERS1973034
2538.1000416	ERS1973039
2538.1000417	ERS1973040
2538.1000414	ERS1973037
2538.1000415	ERS1973038
2538.1000121	ERS1972973
2538.1003620	ERS1973753
2538.BLANK4.A	ERS1973863
2538.1003218	ERS1973663
2538.1003621	ERS1973754
2538.1003215	ERS1973660
2538.1003214	ERS1973659
2538.1003217	ERS1973662
2538.1003216	ERS1973661
2538.1003211	ERS1973656
2538.1003210	ERS1973655
2538.1003213	ERS1973658
2538.1003212	ERS1973657
2538.1000004	ERS1972942
2538.1000007	ERS1972944
2538.1000006	ERS1972943
2538.1002322	ERS1973545
2538.1002031	ERS1973497
2538.1002323	ERS1973546
2538.1002320	ERS1973543
2538.1000817	ERS1973143
2538.1002321	ERS1973544
2538.1001076	ERS1973307
2538.1001075	ERS1973306
2538.1001074	ERS1973305
2538.1001073	ERS1973304
2538.1001072	ERS1973303
2538.1001071	ERS1973302
2538.1001070	ERS1973301
2538.1002714	ERS1973631
2538.1002713	ERS1973630
2538.1002712	ERS1973629
2538.1000913	ERS1973198
2538.1000912	ERS1973197
2538.1000911	ERS1973196
2538.1000910	ERS1973195
2538.1000917	ERS1973202
2538.1000916	ERS1973201
2538.1000915	ERS1973200
2538.1000914	ERS1973199
2538.1000852	ERS1973172
2538.1000853	ERS1973173
2538.1000850	ERS1973170
2538.1000918	ERS1973203
2538.1000856	ERS1973176
2538.1000857	ERS1973177
2538.1000854	ERS1973174
2538.1000855	ERS1973175
2538.1000336	ERS1973032
2538.1001138	ERS1973330
2538.1001139	ERS1973331
2538.1001208	ERS1973365
2538.1001209	ERS1973366
2538.1001206	ERS1973363
2538.1001207	ERS1973364
2538.BLANK1.H	ERS1973813
2538.1001533	ERS1973463
2538.BLANK1.A	ERS1973809
2538.BLANK4.D	ERS1973866
2538.BLANK1.C	None
2538.BLANK1.D	ERS1973810
2538.1000722	ERS1973118
2538.BLANK1.F	ERS1973811
2538.BLANK1.G	ERS1973812
2538.1000210	ERS1972994
2538.1000211	ERS1972995
2538.1000212	ERS1972996
2538.1003915	ERS1973791
2538.1000214	ERS1972997
2538.1000215	ERS1972998
2538.1000216	ERS1972999
2538.1003911	ERS1973787
2538.BLANK3.B	ERS1973845
2538.1000219	ERS1973002
2538.BLANK3.A	ERS1973844
2538.BLANK3.F	ERS1973849
2538.BLANK3.G	ERS1973850
2538.BLANK3.D	ERS1973847
2538.BLANK3.E	ERS1973848
2538.1002627	None
2538.1000019	ERS1972949
2538.1002626	ERS1973614
2538.BLANK4.G	ERS1973869
2538.1001232	ERS1973385
2538.1002502	ERS1973584
2538.1003225	ERS1973668
2538.1003226	ERS1973669
2538.1003227	ERS1973670
2538.1003220	ERS1973664
2538.1003221	ERS1973665
2538.1003222	ERS1973666
2538.1003223	ERS1973667
2538.1001536	ERS1973465
2538.1001537	ERS1973466
2538.1001535	ERS1973464
2538.1001532	ERS1973462
2538.1003229	ERS1973672
2538.1001530	ERS1973461
2538.1002313	ERS1973537
2538.1002312	ERS1973536
2538.1002706	ERS1973623
2538.1002310	ERS1973534
2538.1000328	ERS1973026
2538.1000329	ERS1973027
2538.1002315	ERS1973539
2538.1002314	ERS1973538
2538.1000324	ERS1973023
2538.1000325	ERS1973024
2538.1002319	ERS1973542
2538.1000327	ERS1973025
2538.1000320	ERS1973020
2538.1000321	ERS1973021
2538.1000323	ERS1973022
2538.1003613	ERS1973750
2538.1003228	ERS1973671
2538.1003318	ERS1973686
2538.1003319	ERS1973687
2538.1002629	None
2538.1003310	ERS1973682
2538.1003311	ERS1973683
2538.1003313	ERS1973684
2538.BLANK1.B	None
2538.1003317	ERS1973685
2538.BLANK1.E	None
2538.1003422	ERS1973706
2538.1003423	None
2538.1003132	ERS1973649
2538.1001409	ERS1973419
2538.1003426	ERS1973709
2538.1003427	ERS1973710
2538.1003424	ERS1973707
2538.1003425	ERS1973708
2538.1002407	ERS1973561
2538.1002406	ERS1973560
2538.1002405	ERS1973559
2538.1002404	ERS1973558
2538.1001406	ERS1973417
2538.1001407	ERS1973418
2538.1002401	ERS1973555
2538.1001033	ERS1973276
2538.1003916	ERS1973792
2538.1001031	ERS1973274
2538.1001030	ERS1973273
2538.1001036	ERS1973279
2538.1001035	ERS1973278
2538.1001034	ERS1973277
2538.1000522	ERS1973070
2538.1000521	ERS1973069
2538.1000527	ERS1973071
2538.1003912	ERS1973788
2538.1003304	ERS1973678
2538.1003913	ERS1973789
2538.1000131	ERS1972983
